name_game,category_game,duration_game,nb_player_min_game,nb_player_max_game,stock_game,availability_game,presentation,image_url
Catan,Stratégie,60 à 120 minutes,3,4,3,True,"Catan est un jeu de société stratégique où les joueurs colonisent une île en construisant routes, villages et villes. Il faut collecter et échanger des ressources comme le bois, la brique, le blé, le mouton et le minerai pour se développer. Les alliances et échanges entre joueurs sont essentiels pour progresser. Le jeu combine planification, négociation et un peu de hasard avec les dés.",https://www.espritjeu.com/upload/image/catan-p-image-65490-grande.jpg
Dixit,Ambiance,30 à 45 minutes,3,6,2,True,"Dixit est un jeu d’ambiance et d’imagination où les joueurs racontent des histoires à partir de cartes illustrées. Chaque joueur doit faire deviner sa carte aux autres tout en restant suffisamment subtil pour ne pas être trop évident. L’interprétation créative et la lecture des autres joueurs sont au cœur du jeu. C’est un jeu poétique qui stimule la créativité et les discussions.",https://goodgameparis.fr/wp-content/uploads/2021/03/dixit-900x900.jpg
Carcassonne,Stratégie,30 à 45 minutes,2,5,2,True,"Carcassonne est un jeu de pose de tuiles où les joueurs construisent progressivement un paysage médiéval avec des villes, des routes, des prairies et des abbayes. Chaque tuile placée peut accueillir des partisans (meeples) pour marquer des points selon leur position. La stratégie consiste à optimiser le placement des tuiles et des meeples tout en bloquant les adversaires. C’est un jeu simple à apprendre mais tactiquement riche.",https://www.espritjeu.com/upload/image/carcassonne-p-image-80430-grande.jpg
7 Wonders,Stratégie,30 à 45 minutes,3,7,2,True,"7 Wonders est un jeu de stratégie et de civilisation où les joueurs développent leur cité sur trois âges en construisant des bâtiments, des merveilles et en développant leur armée, leur science ou leur commerce. Chaque choix influence les points de victoire, et le jeu repose sur la gestion des cartes et la planification à long terme. La mécanique de draft de cartes rend chaque partie dynamique et interactive.",https://static.fnac-static.com/multimedia/Images/FR/NR/3c/33/51/5321532/1505-1/tsp20161013114658/7-wonders-Asmodee.jpg
Uno,Cartes,15 à 30 minutes,2,10,4,True,"Uno est un jeu de cartes familial où le but est de se débarrasser de toutes ses cartes avant les autres. Chaque joueur doit poser une carte correspondant à la couleur ou au chiffre de la carte précédente, avec des cartes spéciales qui pimentent la partie (changement de sens, +2, +4, etc.). C’est un jeu simple, rapide et très accessible, parfait pour les soirées entre amis ou en famille.",https://images.king-jouet.com/6/gu068069_6.jpg
Time’s Up,Ambiance,30 à 40 minutes,4,12,4,True,"Time’s Up est un jeu d’ambiance et de communication où les joueurs doivent faire deviner des personnalités, objets ou titres à leur équipe. La partie se déroule en plusieurs manches : d’abord en parlant librement, puis avec un seul mot, et enfin par mimes. C’est un jeu rapide, drôle et très interactif qui met à l’épreuve mémoire et créativité.",https://www.espritjeu.com/upload/image/time-s-up--party---jaune-p-image-95779-grande.jpg
Pandemic,Coopératif,45 à 60 minutes,2,4,2,True,"Pandemic est un jeu coopératif où les joueurs incarnent des spécialistes de la lutte contre des épidémies mondiales. Ensemble, ils doivent voyager à travers le monde pour soigner les maladies, découvrir des remèdes et empêcher la propagation avant qu’il ne soit trop tard. La coordination et la stratégie collective sont essentielles pour gagner. C’est un jeu qui allie tension et réflexion.",https://cdn3.philibertnet.com/523831-thickbox_default/pandemie.jpg
Chess,Classique,10 à 60 minutes,2,2,3,True,"Chess (Échecs) est un jeu de stratégie abstrait opposant deux joueurs sur un plateau de 64 cases. Chaque joueur dispose de 16 pièces avec des mouvements spécifiques et l’objectif est de mettre le roi adverse en échec et mat. Le jeu demande anticipation, planification et tactique, avec une profondeur stratégique immense malgré des règles simples à apprendre. C’est un classique intemporel des jeux de réflexion.",https://www.play-in.com/img/product/jeu-d-echecs-classic-premium-jeu-ambassador-boite.jpg
Monopoly,Famille,60 à 180 minutes,2,6,3,True,"Monopoly est un jeu de société économique où les joueurs achètent, échangent et construisent des propriétés pour faire faillite leurs adversaires. Il combine gestion d’argent, négociation et un peu de chance avec le lancer de dés. Le but est de devenir le joueur le plus riche tout en éliminant les autres du plateau. C’est un jeu convivial mais qui peut durer longtemps selon les parties.",https://products.hasbro.com/_next/image?url=https%3A%2F%2Fwww.hasbro.com%2Fcommon%2Fproductimages%2Ffr_FR%2F7EABAF9750569047F5778F4663C79E75%2F0ed5ef3ffbeebb69ce9074a3f66243a1833f8a7e.jpg&w=1080&q=75
Secret,Ambiance,environ 30 minutes,3,9,1,True,"Little Secret est un jeu de bluff et de déduction où les joueurs incarnent des membres d'une société secrète. Chaque participant reçoit une carte avec un mot de passe secret, mais parmi eux se cachent des Infiltrés et un Journaliste. Le but est de démasquer les intrus sans se faire soi-même identifier. À chaque tour, les joueurs donnent un indice associé à leur mot de passe, puis votent pour éliminer celui qu'ils soupçonnent d'être un Infiltré. Si le Journaliste est éliminé, il tente de deviner le mot de passe des Disciples. Si un Infiltré est éliminé, il révèle son identité. Le jeu combine stratégie, observation et psychologie.",https://cdn1.philibertnet.com/547730-thickbox_default/little-secret.jpg
